NODE_1_length_516341_cov_147.813378	516341
NODE_2_length_290439_cov_154.611887	290439
NODE_3_length_247542_cov_154.313865	247542
NODE_4_length_216215_cov_244.883649	216215
NODE_5_length_188224_cov_109.507116	188224
NODE_6_length_172904_cov_100.394705	172904
NODE_7_length_121334_cov_137.438490	121334
NODE_8_length_119406_cov_212.531502	119406
NODE_9_length_119385_cov_121.162102	119385
NODE_10_length_118839_cov_111.754793	118839
NODE_11_length_116328_cov_110.329059	116328
NODE_12_length_111372_cov_135.271122	111372
NODE_13_length_107257_cov_211.997517	107257
NODE_14_length_104282_cov_183.657462	104282
NODE_15_length_96852_cov_208.477229	96852
NODE_16_length_95654_cov_103.239587	95654
NODE_17_length_92428_cov_223.150475	92428
NODE_18_length_92199_cov_221.073866	92199
NODE_19_length_88849_cov_222.915117	88849
NODE_20_length_88695_cov_185.920897	88695
NODE_21_length_84059_cov_146.330637	84059
NODE_22_length_56226_cov_128.928359	56226
NODE_23_length_47138_cov_191.420901	47138
NODE_24_length_46861_cov_107.735503	46861
NODE_25_length_44891_cov_176.338911	44891
NODE_26_length_42614_cov_112.047944	42614
NODE_27_length_39188_cov_94.379483	39188
NODE_28_length_37557_cov_144.027758	37557
NODE_29_length_34396_cov_190.216230	34396
NODE_30_length_32734_cov_178.918024	32734
NODE_31_length_30912_cov_91.060419	30912
NODE_32_length_20650_cov_119.371388	20650
NODE_33_length_19635_cov_123.348934	19635
NODE_34_length_17394_cov_123.763595	17394
NODE_35_length_17350_cov_72.763340	17350
NODE_36_length_16116_cov_204.221465	16116
NODE_37_length_10698_cov_136.890077	10698
NODE_38_length_10070_cov_93.211003	10070
NODE_39_length_10049_cov_84.290466	10049
NODE_40_length_9491_cov_116.512281	9491
NODE_41_length_9432_cov_174.048576	9432
NODE_42_length_9303_cov_50.906059	9303
NODE_43_length_9285_cov_74.092487	9285
NODE_44_length_6976_cov_130.542853	6976
NODE_45_length_6944_cov_88.475576	6944
NODE_46_length_5527_cov_135.707037	5527
NODE_47_length_5503_cov_77.353237	5503
NODE_48_length_5346_cov_67.203870	5346
NODE_49_length_5300_cov_239.460468	5300
NODE_50_length_5122_cov_64.908308	5122
NODE_51_length_5119_cov_78.510817	5119
NODE_52_length_4952_cov_55.833161	4952
NODE_53_length_4813_cov_91.028596	4813
NODE_54_length_4579_cov_70.409479	4579
NODE_55_length_3991_cov_381.894151	3991
NODE_56_length_3905_cov_68.914240	3905
NODE_57_length_3811_cov_162.029316	3811
NODE_58_length_3118_cov_115.510532	3118
NODE_59_length_3103_cov_17.819220	3103
NODE_60_length_3088_cov_129.883485	3088
NODE_61_length_2988_cov_88.178609	2988
NODE_62_length_2858_cov_81.320762	2858
NODE_63_length_2844_cov_28.570114	2844
NODE_64_length_2786_cov_101.598721	2786
NODE_65_length_2644_cov_14.598331	2644
NODE_66_length_2616_cov_65.353957	2616
NODE_67_length_2611_cov_14.508857	2611
NODE_68_length_2393_cov_102.563548	2393
NODE_69_length_2255_cov_94.525846	2255
NODE_70_length_2083_cov_83.569018	2083
NODE_71_length_2056_cov_50.099015	2056
NODE_72_length_1886_cov_91.306993	1886
NODE_73_length_1836_cov_90.592744	1836
NODE_74_length_1806_cov_205.574151	1806
NODE_75_length_1786_cov_127.981917	1786
NODE_76_length_1669_cov_88.284695	1669
NODE_77_length_1508_cov_82.522085	1508
NODE_78_length_1474_cov_844.667409	1474
NODE_79_length_1472_cov_53.649814	1472
NODE_80_length_1461_cov_59.066717	1461
NODE_81_length_1458_cov_73.010518	1458
NODE_82_length_1406_cov_56.706020	1406
NODE_83_length_1399_cov_2798.040881	1399
NODE_84_length_1389_cov_80.819334	1389
NODE_85_length_1360_cov_2571.321168	1360
NODE_86_length_1349_cov_90.112111	1349
NODE_87_length_1329_cov_75.627288	1329
NODE_88_length_1318_cov_2528.186398	1318
NODE_89_length_1294_cov_94.432734	1294
NODE_90_length_1251_cov_243.803381	1251
NODE_91_length_1238_cov_501.606661	1238
NODE_92_length_1195_cov_72.151685	1195
NODE_93_length_1118_cov_126.738648	1118
NODE_94_length_1067_cov_269.421277	1067
