NODE_1_length_206177_cov_173.308294	206177
NODE_2_length_203834_cov_157.453784	203834
NODE_3_length_184777_cov_186.960103	184777
NODE_4_length_177191_cov_171.056934	177191
NODE_5_length_162287_cov_178.280273	162287
NODE_6_length_139330_cov_177.462583	139330
NODE_7_length_96543_cov_199.475844	96543
NODE_8_length_87186_cov_235.583041	87186
NODE_9_length_83627_cov_180.449605	83627
NODE_10_length_82275_cov_229.162414	82275
NODE_11_length_81649_cov_135.229717	81649
NODE_12_length_81217_cov_166.263078	81217
NODE_13_length_70997_cov_168.628842	70997
NODE_14_length_64730_cov_120.194805	64730
NODE_15_length_62177_cov_199.235713	62177
NODE_16_length_54437_cov_137.051298	54437
NODE_17_length_45357_cov_120.803736	45357
NODE_18_length_43401_cov_252.394694	43401
NODE_19_length_39793_cov_221.864115	39793
NODE_20_length_39015_cov_152.328765	39015
NODE_21_length_38914_cov_124.025911	38914
NODE_22_length_38103_cov_176.286997	38103
NODE_23_length_36553_cov_107.928430	36553
NODE_24_length_35778_cov_571.212196	35778
NODE_25_length_33694_cov_231.114070	33694
NODE_26_length_25237_cov_183.125846	25237
NODE_27_length_24903_cov_247.071884	24903
NODE_28_length_24189_cov_261.416341	24189
NODE_29_length_23929_cov_116.441602	23929
NODE_30_length_20955_cov_165.262195	20955
NODE_31_length_20874_cov_252.670458	20874
NODE_32_length_20503_cov_213.512809	20503
NODE_33_length_15614_cov_170.626203	15614
NODE_34_length_14309_cov_361.441898	14309
NODE_35_length_13558_cov_137.217780	13558
NODE_36_length_13285_cov_169.042028	13285
NODE_37_length_11705_cov_107.522629	11705
NODE_38_length_10765_cov_186.594661	10765
NODE_39_length_9515_cov_154.174585	9515
NODE_40_length_8668_cov_108.301721	8668
NODE_41_length_8263_cov_1626.503687	8263
NODE_42_length_8055_cov_339.757820	8055
NODE_43_length_7754_cov_494.926446	7754
NODE_44_length_7488_cov_207.428203	7488
NODE_45_length_6331_cov_44.280142	6331
NODE_46_length_5665_cov_357.958288	5665
NODE_47_length_5280_cov_1466.358238	5280
NODE_48_length_5227_cov_8.460588	5227
NODE_49_length_4497_cov_301.777117	4497
NODE_50_length_4481_cov_26.308911	4481
NODE_51_length_3880_cov_105.224620	3880
NODE_52_length_3263_cov_14.720026	3263
NODE_53_length_2487_cov_168.227542	2487
NODE_54_length_2434_cov_30.638058	2434
NODE_55_length_2232_cov_9.276960	2232
NODE_56_length_2117_cov_18.059296	2117
NODE_57_length_1937_cov_160.581999	1937
NODE_58_length_1834_cov_361.503222	1834
NODE_59_length_1790_cov_14.812989	1790
NODE_60_length_1784_cov_7.329511	1784
NODE_61_length_1522_cov_47.600000	1522
NODE_62_length_1449_cov_1030.326021	1449
NODE_63_length_1246_cov_11.392315	1246
NODE_64_length_1228_cov_4.423252	1228
NODE_65_length_1018_cov_1172.654321	1018
NODE_66_length_1009_cov_1056.188209	1009
