NODE_1_length_351081_cov_137.707711	351081
NODE_2_length_297352_cov_135.795996	297352
NODE_3_length_268777_cov_91.858842	268777
NODE_4_length_252087_cov_158.921265	252087
NODE_5_length_237324_cov_100.486743	237324
NODE_6_length_215563_cov_110.213771	215563
NODE_7_length_201666_cov_129.364882	201666
NODE_8_length_186172_cov_116.282915	186172
NODE_9_length_180433_cov_170.951632	180433
NODE_10_length_164625_cov_148.482285	164625
NODE_11_length_164592_cov_100.763840	164592
NODE_12_length_160207_cov_164.908115	160207
NODE_13_length_143536_cov_121.660337	143536
NODE_14_length_143232_cov_152.464163	143232
NODE_15_length_141877_cov_144.576727	141877
NODE_16_length_140266_cov_108.551988	140266
NODE_17_length_132480_cov_94.474322	132480
NODE_18_length_127029_cov_122.909623	127029
NODE_19_length_112702_cov_156.437300	112702
NODE_20_length_96224_cov_100.740065	96224
NODE_21_length_96201_cov_165.782324	96201
NODE_22_length_94593_cov_175.861919	94593
NODE_23_length_89015_cov_171.605402	89015
NODE_24_length_87085_cov_160.499379	87085
NODE_25_length_86405_cov_129.503384	86405
NODE_26_length_80984_cov_177.500093	80984
NODE_27_length_78147_cov_93.667854	78147
NODE_28_length_74174_cov_161.318406	74174
NODE_29_length_68136_cov_90.587099	68136
NODE_30_length_67076_cov_153.050128	67076
NODE_31_length_55096_cov_188.750114	55096
NODE_32_length_51247_cov_145.236581	51247
NODE_33_length_50462_cov_151.252627	50462
NODE_34_length_47088_cov_177.065884	47088
NODE_35_length_44412_cov_137.211200	44412
NODE_36_length_43573_cov_145.722243	43573
NODE_37_length_42998_cov_94.841268	42998
NODE_38_length_36491_cov_169.109861	36491
NODE_39_length_35187_cov_161.517456	35187
NODE_40_length_32595_cov_322.208082	32595
NODE_41_length_18832_cov_137.009623	18832
NODE_42_length_17444_cov_132.460588	17444
NODE_43_length_13123_cov_108.434441	13123
NODE_44_length_13020_cov_141.788180	13020
NODE_45_length_11071_cov_187.692617	11071
NODE_46_length_10725_cov_94.230704	10725
NODE_47_length_10561_cov_107.394288	10561
NODE_48_length_10019_cov_147.348969	10019
NODE_49_length_9543_cov_157.313721	9543
NODE_50_length_9138_cov_242.097547	9138
NODE_51_length_7513_cov_162.795942	7513
NODE_52_length_6652_cov_108.417625	6652
NODE_53_length_6190_cov_3763.234043	6190
NODE_54_length_5776_cov_2905.277394	5776
NODE_55_length_5428_cov_104.826071	5428
NODE_56_length_5179_cov_149.339804	5179
NODE_57_length_3291_cov_209.688053	3291
NODE_58_length_2887_cov_4094.645322	2887
NODE_59_length_2562_cov_2942.701027	2562
NODE_60_length_2218_cov_153.797226	2218
NODE_61_length_2053_cov_4.265317	2053
NODE_62_length_1979_cov_236.475162	1979
NODE_63_length_1928_cov_3412.198223	1928
NODE_64_length_1540_cov_1971.004246	1540
NODE_65_length_1537_cov_3.153901	1537
NODE_66_length_1509_cov_525.379884	1509
NODE_67_length_1505_cov_268.126270	1505
NODE_68_length_1375_cov_213.600962	1375
NODE_69_length_1229_cov_271.848457	1229
NODE_70_length_1202_cov_143.282791	1202
NODE_71_length_1170_cov_273.775647	1170
NODE_72_length_1033_cov_288.927152	1033
NODE_73_length_1005_cov_2.241458	1005
