1 genome_id
1340894 Otu10
62080 Otu1000
4426 Otu1004
20932 Otu1010
7082 Otu1015
34556 Otu1016.0
4988 Otu1027
27110 Otu1028
5706 Otu1030
11702 Otu1031
7544 Otu1032
12200 Otu1038
69956 Otu104
4434 Otu1046
34826 Otu105.0
25896 Otu1057
59656 Otu106
10190 Otu1062.0
22124 Otu1065
15072 Otu1068.0
2090 Otu1069
163102 Otu107
15948 Otu1070.0
7954 Otu1078
31726 Otu1079.0
9454 Otu1080
8880 Otu108.0
75360 Otu108.1
13258 Otu1082
9914 Otu1084
9786 Otu1089
3540 Otu1093
913190 Otu11
51318 Otu110.0
13380 Otu1101.0
56 Otu1108.0
1608 Otu1108.1
35064 Otu1111
4908 Otu1113
37490 Otu1123
9904 Otu1126
6934 Otu1127
38566 Otu1129
16484 Otu1132
33890 Otu1136.0
5124 Otu1139
5736 Otu1140
6862 Otu1142.0
15390 Otu1146.0
39098 Otu1147
10296 Otu115
6878 Otu1153
11618 Otu1156
11086 Otu1160
163926 Otu116.0
4536 Otu1168.0
980 Otu1179.0
11066 Otu1179.1
112884 Otu1180.0
5464 Otu1182
36004 Otu1184
6576 Otu1186
31628 Otu1187
37690 Otu119.0
18264 Otu1191
26352 Otu119.1
204638 Otu12.0
45374 Otu1200.0
11372 Otu1204
5908 Otu1209
44090 Otu122.0
966 Otu122.1
69972 Otu1225
30626 Otu1227
104200 Otu123.0
15496 Otu1233.0
27432 Otu1237.0
5358 Otu1238
17856 Otu1240.0
11420 Otu1242
2898 Otu1247
2364 Otu1248
7012 Otu1254
6822 Otu1263
13746 Otu1264
4916 Otu1267.0
25032 Otu1270
60618 Otu1279
85094 Otu128
5658 Otu1283
31046 Otu1287
19762 Otu1297
354344 Otu13.0
2396 Otu1302
2540 Otu1316
15856 Otu132
7544 Otu1322
7044 Otu1330
8036 Otu133.0
566 Otu133.1
13834 Otu1332.0
8126 Otu1334
198998 Otu1337
47190 Otu1344
34328 Otu1358
392132 Otu136
36866 Otu1361.0
2114 Otu1362.0
100504 Otu137.0
1904 Otu1374
3600 Otu1377
2652 Otu1381
22186 Otu1382
10342 Otu1383
6496 Otu1386
8764 Otu1389.0
115296 Otu139
2182 Otu1398
13990 Otu1399
26370 Otu1405
4194 Otu1414.0
174 Otu1414.1
13534 Otu1420.0
7250 Otu1427
47254 Otu1428.0
23482 Otu1446.0
12854 Otu1448
2376 Otu1450
3608 Otu1455
113102 Otu1458.0
3604 Otu1460
12526 Otu1466
10682 Otu1468.0
6608 Otu1469.0
44524 Otu1469.1
33928 Otu1474.0
5690 Otu1483.0
16146 Otu1483.1
13756 Otu149
107606 Otu1498
176296 Otu150.0
6394 Otu1501
7906 Otu1505.0
5810 Otu1507
70118 Otu1515
14044 Otu1519
48974 Otu152
17946 Otu1525.0
5526 Otu1529
4752 Otu1534
4740 Otu1536
9736 Otu1541
64228 Otu1544
16230 Otu1545
4614 Otu1546
5702 Otu1548.0
15570 Otu1548.1
4466 Otu1553
7930 Otu1560
10196 Otu1569
112596 Otu157.0
22338 Otu1573
5012 Otu1577
4922 Otu1580
4298 Otu1585
63696 Otu159
7302 Otu1597
259928 Otu160
24746 Otu1607
